"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Get: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ArtistPgRepoSuite","",""
"","1","Get: Success","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","1","Update: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","0","Create: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","1","GetAllByManager: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","PublicationPgRepoSuit","",""
"","1","GetAllByManagerID: Success","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestPgRepoSuite","",""
"","1","SetMeta: Success","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","0","GetForAdmin: Failure","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","1","GetAllByUserID: DBerr","","Sun Sep 29 21:56:12 MSK 2024","passed","Sun Sep 29 21:56:12 MSK 2024","","RequestServiceSuite","",""
"","0","SetMeta: Failure","","Sun Sep 29 21:56:14 MSK 2024","passed","Sun Sep 29 21:56:14 MSK 2024","","SignContractRequestPgRepoSuite","",""
"","0","GetRandManagerID: Success","","Sun Sep 29 21:56:11 MSK 2024","passed","Sun Sep 29 21:56:11 MSK 2024","","ManagerPgRepoSuite","",""
"","0","Apply: Artist within release limit for the season","","Sun Sep 29 21:56:13 MSK 2024","passed","Sun Sep 29 21:56:13 MSK 2024","","ArtistReleaseLimitPerSeasonCriteriaSuite","",""
